Year,Oblast,0,1,1.1,1.1.1,1.1.1.0,1.1.2,1.1.3,1.1.4,1.2,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.3,1.3.1,1.4,1.5,1.6,1.7,2,2.1,2.1.1,2.1.1.1,2.1.2,2.1.2.1,2.2,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.2.6,2.2.7,2.2.8,2.3,2.4,2.5,3,3.1,3.1.1,3.2,3.3,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,3.4,3.4.1,3.4.2,3.4.3,3.5,3.5.1,3.5.2,3.5.3,3.5.4,3.5.5,3.5.6,3.5.7,3.5.8,3.6,3.6.1,3.6.2,3.7,4,4.1,4.2,4.2.0,4.2.1,4.3,4.3.1,4.3.2,4.3.3,4.4,4.4.1,4.4.2,4.5,4.5.1,4.5.2,4.6,5
2000,Смолян,72.15311005,96.15384615,100,100,,100,0,0,100,100,100,0,0,0,90.47619048,50,0,0,100,,60.45112782,85.71428571,0,0,,,56.13718412,0,41.66666667,43.11926606,25,51.02040816,51.13636364,0,51.02040816,82.69230769,100,80.39215686,90.82568807,47.61904762,0,100,53.84615385,60,33.33333333,0,,,100,100,0,0,0,0,0,0,0,0,0,0,0,98.29545455,100,90.90909091,0,94.54545455,88.88888889,95.91836735,,95.34883721,100,0,0,,92.68292683,0,100,,,,,
2000,София  град,32.93469497,69.6,46.34146341,72.34042553,,82.85714286,0,6.060606061,81.74603175,81.25,76.78571429,100,100,0,72.43589744,88.88888889,80.43478261,0,78.43137255,,32.85848613,38.69918699,27.21088435,23.75,,,28.7087612,66.88121709,19.64516129,15.82411008,11.92528736,48.56133266,26.69927909,10.49723757,34.17305586,77.77777778,83.33333333,56.65137615,21.25730994,15.18987342,7.692307692,75.51020408,5.974729242,5.624740556,7.681365576,31.57894737,,,36.36363636,45,0,0,98.65771812,0,98.6013986,100,100,0,0,0,0,99.33035714,0,100,86.66666667,92.40088106,85.71428571,96.69811321,,97.35449735,82.60869565,0,0,,88.59223301,0,85.36585366,,,,,
2000,София,48.42748092,75.45787546,42.66666667,36.84210526,,75,100,35.29411765,96.15384615,100,100,0,0,0,85.9375,80,100,0,83.87096774,,39.07018328,48.68421053,16.66666667,16.66666667,,,35.77799802,45,29.91026919,31.49171271,45.16129032,30.73770492,38.88888889,20,35.69405099,87.5,80,77.55102041,58.85328836,45.58823529,0,96.66666667,22.55319149,17.31843575,42,16.66666667,,,50,100,0,0,100,0,100,0,0,0,0,0,0,90.90909091,76,88.05970149,100,91.27906977,88.88888889,90.38461538,,91.11111111,100,0,0,,90.69767442,0,93.75,,,,,
2000,Стара Загора,44.82815598,83.46666667,75,82.35294118,,88.23529412,100,50,89.83050847,83.33333333,90.32258065,80,100,100,85,60,87.5,0,78.57142857,,36.12263716,53.03643725,46.66666667,83.33333333,,,32.36459709,18.26923077,32.55406195,35.24305556,38.75,30.18018018,28.26086957,25,27.03862661,74.25149701,71.42857143,61.6,53.34750266,15,0,92.15686275,17.10843373,16.66666667,16.8,66.66666667,,,75,100,0,0,100,0,100,0,0,0,0,0,0,94.25587467,87.5,87.38738739,100,83.16582915,86.66666667,81.77083333,,82.32044199,75,0,0,,86.47058824,0,88.46153846,,,,,
2000,Търговище,62.10775607,92.1875,76.92307692,66.66666667,,100,0,50,95.83333333,100,100,50,0,100,93.93939394,100,50,0,95.65217391,,53.31152903,83.33333333,50,100,,,49.49402024,58.33333333,46.39175258,61.76470588,58.82352941,47.88732394,53.07692308,50,47.7443609,87.75510204,100,79.36507937,73.39449541,31.25,0,100,58.82352941,55.31914894,100,100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,96.22641509,100,93.33333333,0,99.16666667,88.88888889,100,,100,100,0,0,,100,0,100,,,,,
2000,Хасково,44.39862543,90.44585987,88.88888889,88.88888889,,100,0,0,95,71.42857143,100,100,0,100,86.76470588,100,92.85714286,100,93.75,,37.45421245,57.53424658,0,0,,,35.36706349,20,27.91519435,31.50105708,25.58139535,28,27.6816609,11.11111111,42.14659686,60.97560976,100,68,47.54098361,17.80821918,0,95.23809524,19.51219512,18.3908046,20,50,,,0,0,0,0,100,0,100,0,0,0,0,0,0,81.36645963,100,60,75,90.84507042,100,88.46153846,,90.27777778,100,0,0,,90.32258065,0,90.90909091,,,,,
2000,Шумен,59.55124318,90.96045198,84.21052632,100,,100,0,33.33333333,95.34883721,93.75,93.75,100,100,100,88.54166667,100,100,0,100,,54.22984836,64.44444444,100,100,,,52.52525253,34.7826087,31.93717277,41.42480211,31.57894737,38.23529412,31.59722222,25,61.02236422,54.6875,100,82.05128205,63.83928571,34.375,0,96.42857143,20.28985507,16.52892562,53.33333333,0,,,100,100,0,0,100,0,100,100,0,0,0,0,0,88.01652893,85.71428571,67.30769231,75,94.61077844,92.85714286,97.11538462,,97,71.42857143,0,0,,92.68292683,0,86.66666667,,,,,
2000,Ямбол,59.23913043,89.63963964,78.57142857,66.66666667,,100,0,0,91.30434783,77.77777778,100,100,100,100,85.4368932,100,100,0,96.20253165,,50.18646777,64.70588235,0,0,,,47.79236277,52.94117647,36.20689655,47.83599089,47.05882353,42.69005848,30.8,45.45454545,47.07520891,80,100,65.74074074,69.43396226,15.38461538,0,90.90909091,35.59322034,37.25490196,14.28571429,100,,,0,0,0,0,100,0,100,0,0,0,0,0,0,94.07894737,94.73684211,86.20689655,100,94.81132075,100,93.24324324,,95.52238806,92.30769231,0,0,,94.31818182,0,88.88888889,,,,,
2000,Общo,45.57557974,84.98222749,69.73392461,77.99352751,,87.20930233,50,46.2406015,92.62135922,89.25081433,94.35028249,90.32258065,98.07692308,88.88888889,84.11154345,90.78947368,86.4978903,100,90.44756179,,38.85607552,45.85091421,33.85093168,28.91566265,,,35.5056464,51.27207423,25.5050057,27.93108784,30.13022003,38.24595055,26.47099352,18.18181818,42.65838881,78.51909995,86.72985782,65.20591341,46.21601441,22.34829798,16.52173913,93.48404255,11.48834323,11.30207148,11.35425268,38.35616438,,,68.34532374,76.31578947,0,50,97.37470167,0,98.70801034,100,71.42857143,0,0,0,0,92.9981378,84.3373494,83.41148886,80.85106383,91.19355221,87.30650155,92.44047619,,92.75873118,88.14229249,100,0,,89.36035465,100,90.42168675,,,,,
2001,Благоевград,48.3142592,90.90909091,92.30769231,100,,100,0,0,100,100,100,0,100,100,90.625,100,83.33333333,0,72.72727273,,34.61374306,60.25641026,66.66666667,0,,,31.69291339,22.72727273,25.75452716,34.5890411,17.5,35.96059113,28.03970223,16.66666667,34.65346535,65.51724138,100,45.93023256,81.04575163,22.22222222,0,88.46153846,52,51.42857143,46.15384615,100,,,69.23076923,83.33333333,50,100,94.20289855,0,100,0,71.42857143,0,0,0,0,91.57088123,100,75.43859649,50,86.28158845,94.44444444,87.4015748,,87.28813559,85.71428571,0,0,,85.29411765,0,84.21052632,,,,,
